card_id,figure_id,buy_id,package_id,figure_type,country,mainname,last_name,player_position,birth,weight,height,amount_doubles
1,QAT_04,1,1,player,Qatar,Meshaal,Barsham,keeper,1998-02-14,66.0,1.80,1
2,CAN_02,1,1,shield,Canada,Team logo,,,,,,0
3,WAL_14,1,1,player,Wales,Aaron,Ramsey,middle,1990-12-26,78.0,1.80,0
4,WAL_18,1,1,player,Wales,Daniel,James,attack,1997-11-10,76.0,1.70,1
5,DEN_05,1,1,player,Denmark,Andreas,Christensen,defense,1996-04-10,82.0,1.87,0
6,IRN_17,1,2,player,Ir Iran,Karim,Ansarifard,attack,1990-04-03,77.0,1.86,0
7,QAT_15,1,2,player,Qatar,Yousuf,Abdurisag,attack,1999-08-06,74.0,1.77,2
8,QAT_14,1,2,player,Qatar,Assim,Omer Madibo,middle,1996-10-22,71.0,1.63,2
9,CRO_19,1,2,player,Croatia,Marko,Livaja,attack,1993-08-26,84.0,1.82,0
10,WAL_04,1,2,player,Wales,Wayne,Hennessey,keeper,1987-01-24,90.0,1.98,2
11,NED_20,1,3,player,Netherlands,Donyell,Malen,attack,1999-01-19,78.0,1.79,0
12,FWC_10,1,3,stadium,,Al Thumama,,,,,,1
13,KOR_02,1,3,shield,Korea Republic,Team logo,,,,,,1
14,POR_03,1,3,player,Portugal,Diogo,Costa,keeper,1999-09-19,81.0,1.87,2
15,CMR_01,1,3,squad,Cameroon,Team shot,,,,,,1
16,SUI_04,1,4,player,Switzerland,Gregor,Kobel,keeper,1997-12-06,88.0,1.94,2
17,CAN_09,1,4,player,Canada,Kamal,Miller,defense,1997-05-16,84.0,1.83,0
18,BEL_13,1,4,player,Belgium,Thorgan,Hazard,middle,1993-03-29,71.0,1.75,0
19,BEL_08,1,4,player,Belgium,Thomas,Meunier,defense,1991-09-12,82.0,1.90,0
20,ESP_02,1,4,shield,Spain,Team logo,,,,,,0
21,ESP_13,1,5,player,Spain,Pedri,,defense,1994-05-27,85.0,1.89,0
22,QAT_16,1,5,player,Qatar,Akram,Hassan Afif,attack,1996-11-18,68.0,1.76,1
23,ECU_19,1,5,player,Ecuador,Ayrton,Preciado,attack,1994-07-17,72.0,1.81,0
24,ECU_15,1,5,player,Ecuador,Jeremy,Sarmiento,middle,2002-06-16,74.0,1.78,3
25,ENG_11,1,5,player,England,Jude,Bellingham,middle,2003-06-29,75.0,1.86,2
51,CRO_16,2,1,player,Croatia,Nikola,Vlašić,middle,1997-10-04,79.0,1.78,4
52,JPN_11,2,1,player,Japan,Genki,Haraguchi,middle,1991-05-09,68.0,1.77,4
53,JPN_04,2,1,player,Japan,Eiji,Kawashima,keeper,1983-03-20,82.0,1.85,2
54,GER_18,2,1,player,Germany,Marco,Reus,attack,1989-05-31,71.0,1.80,0
56,CAN_19,2,2,player,Canada,David,Junior Hoilett,attack,1990-06-05,70.0,1.74,0
